verso,cancion
"le estoy hablando, hablando, hablando a tu corazón",A TU CORAZÓN
"Cuando estás muy sola, sola en la calle",A TU CORAZÓN
"con tanta gente hablando, hablando a tu alrededor",A TU CORAZÓN
necesitas a alguien que te acompañe,A TU CORAZÓN
"le estoy hablando, hablando, hablando a tu corazón",A TU CORAZÓN
No importa el lenguaje ni las palabras,A TU CORAZÓN
ni las fronteras que separan a nuestro amor,A TU CORAZÓN
quiero que me escuches y que te abras,A TU CORAZÓN
"le estoy hablando, hablando, hablando a tu corazón",A TU CORAZÓN
"Puedo ver y decir,",7INFLUENCIA
puedo ver y decir y sentir:,7INFLUENCIA
algo ha cambiado.,7INFLUENCIA
para mí no es extraño.,7INFLUENCIA
"Yo no voy a correr,",7INFLUENCIA
yo no voy a correr ni a escapar,7INFLUENCIA
"de mi destino,",7INFLUENCIA
yo pienso en peligro.,7INFLUENCIA
Si fue hecho para mí,7INFLUENCIA
lo tengo que saber.,7INFLUENCIA
"pero es muy difícil ver,",7INFLUENCIA
si algo controla mi ser.,7INFLUENCIA
"En el fondo de mí,",7INFLUENCIA
en el fondo de mí veo temor,7INFLUENCIA
y veo sospechas,7INFLUENCIA
con mi fascinación nueva.,7INFLUENCIA
"Yo no sé bien qué es,",7INFLUENCIA
"Yo no sé bien que es,",7INFLUENCIA
"vos dirás: ""Son intuiciones""",7INFLUENCIA
verdaderas alertas.,7INFLUENCIA
"Debo confiar en mí,",7INFLUENCIA
lo tengo que saber.,7INFLUENCIA
"pero es muy difícil ver,",7INFLUENCIA
si algo controla mi ser.,7INFLUENCIA
Puedo ver y decir y sentir,7INFLUENCIA
mi mente dormir,7INFLUENCIA
bajo tu influencia.,7INFLUENCIA
"Una parte de mi,",7INFLUENCIA
"una parte de mi dice: Stop!,",7INFLUENCIA
"fuiste muy lejos,",7INFLUENCIA
no puedo contenerlo.,7INFLUENCIA
